1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	74
1	J	74
1	R	74
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	107
4	W	107
5	R	107
4	J	109
5	E	109
4	R	110
4	W	115
0	R	115
3	J	3067
3	R	3067
3	W	3067
0	R	3067
4	J	3383
4	R	3383
4	W	3383
0	R	3383
4	J	3447
4	R	3447
4	W	3447
0	R	3447
4	J	3456
4	R	3456
4	W	3456
0	R	3456
4	J	3509
4	R	3509
6	N	3511
6	J	3511
4	W	3512
6	R	3512
6	E	3518
4	J	3518
4	R	3518
7	N	3518
7	J	3519
4	W	3519
7	R	3519
4	J	3521
7	E	3522
4	R	3522
4	W	3522
0	R	3522
4	J	3560
4	R	3560
4	W	3560
0	R	3560
4	J	3867
4	R	3867
4	W	3867
0	R	3867
4	J	3956
4	R	3956
4	W	3956
0	R	3957
4	J	3983
4	R	3983
4	W	3983
0	R	3983
4	J	4098
4	R	4098
4	W	4098
0	R	4098
4	J	4268
4	R	4268
4	W	4268
0	R	4268
4	J	4359
4	R	4359
4	W	4359
0	R	4359
4	J	4613
4	R	4613
4	W	4619
0	R	4619
4	J	4713
4	R	4713
4	W	4713
0	R	4713
4	J	6879
4	R	6879
8	N	6880
8	J	6880
4	W	6881
8	R	6881
9	N	6882
9	J	6883
10	N	6883
10	J	6883
11	N	6883
11	J	6884
12	N	6884
12	J	6885
13	N	6885
13	J	6885
14	N	6885
14	J	6886
15	N	6886
15	J	6887
16	N	6887
16	J	6887
17	N	6888
17	J	6888
18	N	6888
18	J	6889
8	W	6890
18	R	6890
18	J	6905
17	R	6905
17	J	6920
16	R	6920
16	J	6935
15	R	6935
15	J	6950
14	R	6950
14	J	6965
13	R	6965
13	J	6980
12	R	6980
12	J	6995
11	R	6995
11	J	7010
10	R	7010
10	J	7025
9	R	7025
9	W	7025
18	R	7025
18	J	7040
17	R	7040
17	J	7055
16	R	7055
16	J	7070
15	R	7070
15	J	7085
14	R	7085
14	J	7100
13	R	7100
13	J	7115
12	R	7115
9	J	7130
12	J	7130
9	R	7130
9	W	7130
11	R	7130
11	J	7145
10	R	7145
10	J	7160
18	R	7160
18	J	7175
17	R	7175
17	J	7190
16	R	7190
16	J	7205
15	R	7205
15	J	7220
14	R	7220
9	J	7235
14	J	7235
9	R	7235
9	W	7235
13	R	7235
13	J	7250
12	R	7250
12	J	7265
11	R	7265
11	J	7280
10	R	7280
10	J	7295
18	R	7295
18	J	7310
17	R	7310
17	J	7325
16	R	7325
9	J	7340
16	J	7340
9	R	7340
9	W	7340
15	R	7340
15	J	7355
14	R	7355
14	J	7370
13	R	7370
13	J	7385
12	R	7385
12	J	7400
11	R	7400
11	J	7415
10	R	7415
10	J	7430
18	R	7430
9	J	7445
18	J	7445
9	R	7445
9	W	7445
17	R	7445
17	J	7460
16	R	7460
16	J	7475
15	R	7475
15	J	7490
14	R	7490
14	J	7505
13	R	7505
13	J	7520
12	R	7520
12	J	7535
11	R	7535
9	J	7550
11	J	7550
9	R	7550
9	W	7550
10	R	7550
10	J	7565
18	R	7565
18	J	7580
17	R	7580
17	J	7595
16	R	7595
16	J	7610
15	R	7610
15	J	7625
14	R	7625
14	J	7640
13	R	7640
9	J	7655
13	J	7655
9	R	7655
9	W	7655
12	R	7655
12	J	7670
11	R	7670
11	J	7685
10	R	7685
10	J	7700
18	R	7700
18	J	7715
17	R	7715
17	J	7730
16	R	7730
16	J	7745
15	R	7745
9	J	7760
15	J	7760
9	R	7760
9	W	7760
14	R	7760
14	J	7775
13	R	7775
13	J	7790
12	R	7790
12	J	7805
11	R	7805
11	J	7820
10	R	7820
10	J	7835
18	R	7835
